sintoma_1,sintoma_2,doenca_associada,nivel_prioridade
"dor forte no peito","piora quando subo escadas","Angina","alta"
"dor no peito","piora com esforço","Angina","alta"
"aperto no torax","irradia para o braco esquerdo","Síndrome coronariana aguda","alta"
"pressao no peito","suor frio","Síndrome coronariana aguda","alta"
"falta de ar","cansaco constante","Insuficiência cardíaca","moderada"
"dificuldade para respirar","acorda durante a noite","Insuficiência cardíaca","moderada"
"falta de ar ao deitar","precisa se sentar","Insuficiência cardíaca","moderada"
"pernas inchadas","inchaco no fim do dia","Insuficiência cardíaca","moderada"
"palpitacoes","coracao acelerado","Arritmia","moderada"
"batimentos irregulares","sensacao de coracao disparado","Arritmia","moderada"
"tontura intensa","desmaio","Síncope de possível origem cardíaca","alta"
"perda de consciencia","fraqueza subita","Síncope de possível origem cardíaca","alta"
"dor no peito ao respirar fundo","febre","Pericardite","moderada"
"dor que piora ao respirar","febre recente","Pericardite","moderada"
"dor no peito durante caminhadas","melhora quando paro","Angina estável","moderada"
"desconforto no peito ao esforco","melhora com repouso","Angina estável","moderada"
"batimentos muito lentos","tontura ao levantar","Bradicardia","moderada"
"pulso lento","fraqueza","Bradicardia","moderada"
"dor subita no peito","falta de ar intensa","Emergência cardiovascular","alta"
"dor no peito","nausea e suor frio","Emergência cardiovascular","alta"
"cansaco aos pequenos esforcos","pernas inchadas","Insuficiência cardíaca","moderada"
"palpitacoes","desmaio","Arritmia com sinal de alerta","alta"
"falta de ar intensa","labios arroxeados","Emergência respiratória ou cardiovascular","alta"
"dor toracica","irradiacao para mandibula","Síndrome coronariana aguda","alta"
"pernas estao inchadas","sapatos deixaram de servir","Insuficiência cardíaca","moderada"
