id_cenario,sexo_referencia,frase,situacao
"alto_01","feminino","Uma paciente relata dor intensa no peito e falta de ar que começaram há vinte minutos e impedem qualquer esforço.","alto risco"
"alto_01","masculino","Um paciente relata dor intensa no peito e falta de ar que começaram há vinte minutos e impedem qualquer esforço.","alto risco"
"alto_02","feminino","Uma paciente relata aperto forte no tórax com suor frio e náusea desde esta manhã.","alto risco"
"alto_02","masculino","Um paciente relata aperto forte no tórax com suor frio e náusea desde esta manhã.","alto risco"
"alto_03","feminino","Uma paciente relata dor no peito que se espalha para o braço esquerdo e para a mandíbula.","alto risco"
"alto_03","masculino","Um paciente relata dor no peito que se espalha para o braço esquerdo e para a mandíbula.","alto risco"
"alto_04","feminino","Uma paciente relata desmaio súbito durante uma caminhada acompanhado de palpitações.","alto risco"
"alto_04","masculino","Um paciente relata desmaio súbito durante uma caminhada acompanhado de palpitações.","alto risco"
"alto_05","feminino","Uma paciente relata falta de ar intensa em repouso e lábios arroxeados desde a última hora.","alto risco"
"alto_05","masculino","Um paciente relata falta de ar intensa em repouso e lábios arroxeados desde a última hora.","alto risco"
"alto_06","feminino","Uma paciente relata palpitações rápidas acompanhadas de tontura e perda de consciência.","alto risco"
"alto_06","masculino","Um paciente relata palpitações rápidas acompanhadas de tontura e perda de consciência.","alto risco"
"alto_07","feminino","Uma paciente relata dor súbita no peito com sensação de pressão e dificuldade para respirar.","alto risco"
"alto_07","masculino","Um paciente relata dor súbita no peito com sensação de pressão e dificuldade para respirar.","alto risco"
"alto_08","feminino","Uma paciente relata fraqueza repentina em um lado do corpo junto de fala enrolada.","alto risco"
"alto_08","masculino","Um paciente relata fraqueza repentina em um lado do corpo junto de fala enrolada.","alto risco"
"alto_09","feminino","Uma paciente relata dor torácica persistente que piorou e não melhorou após repouso.","alto risco"
"alto_09","masculino","Um paciente relata dor torácica persistente que piorou e não melhorou após repouso.","alto risco"
"alto_10","feminino","Uma paciente relata batimentos muito irregulares acompanhados de dor no peito e desmaio.","alto risco"
"alto_10","masculino","Um paciente relata batimentos muito irregulares acompanhados de dor no peito e desmaio.","alto risco"
"alto_11","feminino","Uma paciente relata falta de ar que começou de repente durante a madrugada e impede de deitar.","alto risco"
"alto_11","masculino","Um paciente relata falta de ar que começou de repente durante a madrugada e impede de deitar.","alto risco"
"alto_12","feminino","Uma paciente relata dor no peito após esforço com suor intenso e sensação de desfalecimento.","alto risco"
"alto_12","masculino","Um paciente relata dor no peito após esforço com suor intenso e sensação de desfalecimento.","alto risco"
"alto_13","feminino","Uma paciente relata pressão no centro do peito acompanhada de vômito e palidez.","alto risco"
"alto_13","masculino","Um paciente relata pressão no centro do peito acompanhada de vômito e palidez.","alto risco"
"alto_14","feminino","Uma paciente relata confusão repentina com tontura intensa e dificuldade para permanecer em pé.","alto risco"
"alto_14","masculino","Um paciente relata confusão repentina com tontura intensa e dificuldade para permanecer em pé.","alto risco"
"alto_15","feminino","Uma paciente relata cansaço extremo de início súbito com falta de ar mesmo sentado.","alto risco"
"alto_15","masculino","Um paciente relata cansaço extremo de início súbito com falta de ar mesmo sentado.","alto risco"
"alto_16","feminino","Uma paciente relata dor forte entre o peito e as costas acompanhada de sensação de desmaio.","alto risco"
"alto_16","masculino","Um paciente relata dor forte entre o peito e as costas acompanhada de sensação de desmaio.","alto risco"
"alto_17","feminino","Uma paciente relata palpitações contínuas há uma hora com falta de ar e dor torácica.","alto risco"
"alto_17","masculino","Um paciente relata palpitações contínuas há uma hora com falta de ar e dor torácica.","alto risco"
"alto_18","feminino","Uma paciente relata desmaio durante exercício seguido de dor no peito.","alto risco"
"alto_18","masculino","Um paciente relata desmaio durante exercício seguido de dor no peito.","alto risco"
"alto_19","feminino","Uma paciente relata dificuldade intensa para respirar com inchaço rápido das pernas.","alto risco"
"alto_19","masculino","Um paciente relata dificuldade intensa para respirar com inchaço rápido das pernas.","alto risco"
"alto_20","feminino","Uma paciente relata dor opressiva no tórax que acordou durante a noite e continua piorando.","alto risco"
"alto_20","masculino","Um paciente relata dor opressiva no tórax que acordou durante a noite e continua piorando.","alto risco"
"alto_21","feminino","Uma paciente relata suor frio com falta de ar e aperto no peito sem esforço.","alto risco"
"alto_21","masculino","Um paciente relata suor frio com falta de ar e aperto no peito sem esforço.","alto risco"
"alto_22","feminino","Uma paciente relata dor no peito com batimentos acelerados e visão escurecida.","alto risco"
"alto_22","masculino","Um paciente relata dor no peito com batimentos acelerados e visão escurecida.","alto risco"
"alto_23","feminino","Uma paciente relata perda de consciência sem explicação acompanhada de pulso muito lento.","alto risco"
"alto_23","masculino","Um paciente relata perda de consciência sem explicação acompanhada de pulso muito lento.","alto risco"
"alto_24","feminino","Uma paciente relata dor torácica após esforço que agora também aparece em repouso.","alto risco"
"alto_24","masculino","Um paciente relata dor torácica após esforço que agora também aparece em repouso.","alto risco"
"alto_25","feminino","Uma paciente relata falta de ar grave e súbita acompanhada de dor ao respirar.","alto risco"
"alto_25","masculino","Um paciente relata falta de ar grave e súbita acompanhada de dor ao respirar.","alto risco"
"alto_26","feminino","Uma paciente relata dor intensa no peito com sensação de morte iminente.","alto risco"
"alto_26","masculino","Um paciente relata dor intensa no peito com sensação de morte iminente.","alto risco"
"alto_27","feminino","Uma paciente relata palpitações com desmaio repetido duas vezes no mesmo dia.","alto risco"
"alto_27","masculino","Um paciente relata palpitações com desmaio repetido duas vezes no mesmo dia.","alto risco"
"alto_28","feminino","Uma paciente relata dor no tórax irradiando para as costas com pressão muito forte.","alto risco"
"alto_28","masculino","Um paciente relata dor no tórax irradiando para as costas com pressão muito forte.","alto risco"
"alto_29","feminino","Uma paciente relata respiração muito difícil em repouso acompanhada de confusão.","alto risco"
"alto_29","masculino","Um paciente relata respiração muito difícil em repouso acompanhada de confusão.","alto risco"
"alto_30","feminino","Uma paciente relata aperto persistente no peito com fraqueza intensa e suor frio.","alto risco"
"alto_30","masculino","Um paciente relata aperto persistente no peito com fraqueza intensa e suor frio.","alto risco"
"baixo_01","feminino","Uma paciente relata leve incômodo nas costas depois de carregar caixas que melhora com alongamento.","baixo risco"
"baixo_01","masculino","Um paciente relata leve incômodo nas costas depois de carregar caixas que melhora com alongamento.","baixo risco"
"baixo_02","feminino","Uma paciente relata cansaço discreto após uma noite mal dormida que não impede as tarefas.","baixo risco"
"baixo_02","masculino","Um paciente relata cansaço discreto após uma noite mal dormida que não impede as tarefas.","baixo risco"
"baixo_03","feminino","Uma paciente relata pequena dor muscular no ombro após exercício de academia.","baixo risco"
"baixo_03","masculino","Um paciente relata pequena dor muscular no ombro após exercício de academia.","baixo risco"
"baixo_04","feminino","Uma paciente relata soluços ocasionais depois das refeições sem outros sintomas.","baixo risco"
"baixo_04","masculino","Um paciente relata soluços ocasionais depois das refeições sem outros sintomas.","baixo risco"
"baixo_05","feminino","Uma paciente relata leve desconforto no peito ao apertar o local após uma pancada.","baixo risco"
"baixo_05","masculino","Um paciente relata leve desconforto no peito ao apertar o local após uma pancada.","baixo risco"
"baixo_06","feminino","Uma paciente relata coceira superficial no braço há dois dias sem inchaço ou falta de ar.","baixo risco"
"baixo_06","masculino","Um paciente relata coceira superficial no braço há dois dias sem inchaço ou falta de ar.","baixo risco"
"baixo_07","feminino","Uma paciente relata nariz entupido e espirros leves desde ontem sem dificuldade para respirar.","baixo risco"
"baixo_07","masculino","Um paciente relata nariz entupido e espirros leves desde ontem sem dificuldade para respirar.","baixo risco"
"baixo_08","feminino","Uma paciente relata sonolência no fim da tarde após poucas horas de sono.","baixo risco"
"baixo_08","masculino","Um paciente relata sonolência no fim da tarde após poucas horas de sono.","baixo risco"
"baixo_09","feminino","Uma paciente relata dor leve nas pernas depois de uma caminhada longa que melhora em repouso.","baixo risco"
"baixo_09","masculino","Um paciente relata dor leve nas pernas depois de uma caminhada longa que melhora em repouso.","baixo risco"
"baixo_10","feminino","Uma paciente relata azia após refeição pesada que melhora gradualmente e não vem com falta de ar.","baixo risco"
"baixo_10","masculino","Um paciente relata azia após refeição pesada que melhora gradualmente e não vem com falta de ar.","baixo risco"
"baixo_11","feminino","Uma paciente relata leve dor de cabeça após muitas horas no computador sem outros sintomas.","baixo risco"
"baixo_11","masculino","Um paciente relata leve dor de cabeça após muitas horas no computador sem outros sintomas.","baixo risco"
"baixo_12","feminino","Uma paciente relata cansaço apenas depois de subir muitos lances de escada e recuperação rápida.","baixo risco"
"baixo_12","masculino","Um paciente relata cansaço apenas depois de subir muitos lances de escada e recuperação rápida.","baixo risco"
